Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-20 11:50:30

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0326,,Cur,0.045,,Cur,22.1,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,60 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0136683435412124,,
2,-4.99453125,0.0160804041661322,,
3,-4.9890625,0.0136683435412124,,
4,-4.98359375,0.0136683435412124,,
5,-4.978125,0.0140703536453657,,
6,-4.97265625,0.0136683435412124,,
7,-4.9671875,0.014472363749519,,
8,-4.96171875,0.0148743738536723,,
9,-4.95625,0.0140703536453657,,
10,-4.95078125,0.0140703536453657,,
11,-4.9453125,0.0128643233329058,,
12,-4.93984375,0.0136683435412124,,
13,-4.934375,0.0152763839578256,,
14,-4.92890625,0.0140703536453657,,
15,-4.9234375,0.0128643233329058,,
16,-4.91796875,0.0128643233329058,,
17,-4.9125,0.0168844243744388,,
18,-4.90703125,0.0140703536453657,,
19,-4.9015625,0.0148743738536723,,
20,-4.89609375,0.014472363749519,,
21,-4.890625,0.0152763839578256,,
22,-4.88515625,0.0136683435412124,,
23,-4.8796875,0.0140703536453657,,
24,-4.87421875,0.014472363749519,,
25,-4.86875,0.0140703536453657,,
26,-4.86328125,0.0140703536453657,,
27,-4.8578125,0.0148743738536723,,
28,-4.85234375,0.0128643233329058,,
29,-4.846875,0.014472363749519,,
30,-4.84140625,0.014472363749519,,
31,-4.8359375,0.0140703536453657,,
32,-4.83046875,0.014472363749519,,
33,-4.825,0.0148743738536723,,
34,-4.81953125,0.0132663334370591,,
35,-4.8140625,0.014472363749519,,
36,-4.80859375,0.0148743738536723,,
37,-4.803125,0.0120603031245992,,
38,-4.79765625,0.0148743738536723,,
39,-4.7921875,0.014472363749519,,
40,-4.78671875,0.0124623132287525,,
41,-4.78125,0.0156783940619789,,
42,-4.77578125,0.0152763839578256,,
43,-4.7703125,0.0136683435412124,,
44,-4.76484375,0.0152763839578256,,
45,-4.759375,0.0140703536453657,,
46,-4.75390625,0.0140703536453657,,
47,-4.7484375,0.014472363749519,,
48,-4.74296875,0.0152763839578256,,
49,-4.7375,0.0148743738536723,,
50,-4.73203125,0.0152763839578256,,
